Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
SJT,San Juan Basin Rty Tr Ub,33,ENERGY,Oil&Gas-Royalty Trust,6.91,-3.6,-0.26,509,-1.1,66,97,A-,A,C+,95
VOC,V O C Energy Trust,33,ENERGY,Oil&Gas-Royalty Trust,5.47,1.8,0.1,51,-47.2,71,98,A-,C,A,95
ACT,Enact Holdings Inc,35,FINANCE,Finance-Mrtg&Rel Svc,21.24,-1.8,-0.39,154,6,58,81,A-,B,E,74
SNFCA,Security Natl Finl Cl A,35,FINANCE,Finance-Mrtg&Rel Svc,9.59,0.9,0.09,11,-51,51,87,A-,B,C,81
VEL,Velocity Financial Inc,35,FINANCE,Finance-Mrtg&Rel Svc,12.29,-2.8,-0.36,7,-60.8,96,94,A-,B,A-,96
AMTB,Amerant Bancorp Inc Cl A,36,BANKS,Banks-Southeast,34.59,0.3,0.08,88,-23.8,51,98,A-,D,A-,91
BPOP,Popular Inc,36,BANKS,Banks-Southeast,90.32,-1.2,-1.06,419,-1.3,93,94,A-,B,B+,95
BRBS,Blue Ridge Bankshares,36,BANKS,Banks-Southeast,17.47,-2.8,-0.51,70,23.7,76,85,A-,A,C-,95
FBP,First Bancorp Hldg Co,36,BANKS,Banks-Southeast,14.49,-2.1,-0.31,1148,-8.5,92,93,A-,A,D+,93
HTBI,Hometrust Bancshares Inc,36,BANKS,Banks-Southeast,31.2,0.5,0.15,41,4.3,90,90,A-,C,B-,90
HWC,Hancock Whitney Corp,36,BANKS,Banks-Southeast,54.12,0.7,0.4,257,-14.2,90,93,A-,C,C+,93
OFG,O F G Bancorp,36,BANKS,Banks-Southeast,26.75,-1.9,-0.53,119,-24,91,92,A-,C,D-,89
OZK,Bank Ozk,36,BANKS,Banks-Southeast,47.51,-0.2,-0.09,269,-41,70,87,A-,B,C,84
PFHD,Professional Hldg Cl A,36,BANKS,Banks-Southeast,20.88,-0.9,-0.19,18,-39.3,84,90,A-,B,B+,93
SMMF,Summit Financial Group,36,BANKS,Banks-Southeast,27.49,-0.2,-0.05,5,-55.9,88,88,A-,B,B,95
SSBK,Southern States Bancshr,36,BANKS,Banks-Southeast,21.01,0,0,0,0,88,81,A-,A,B,96
PLAB,Photronics Inc,37,CHIPS,Elec-Semiconductor Equip,17.54,-3.5,-0.63,329,-39.8,91,97,A-,C,B+,98
BHLB,Berkshire Hills Bancorp,40,S&Ls,Finance-Savings & Loan,30.07,-0.6,-0.18,189,10.7,49,95,A-,D,B-,77
CZWI,Citizens Cmmty Banc Md,40,S&Ls,Finance-Savings & Loan,15.13,0,0,80,542.2,93,91,A-,C,B,93
RBB,R B B Bancorp,40,S&Ls,Finance-Savings & Loan,26.64,-0.2,-0.06,13,-32.8,86,93,A-,B,B-,90
SBT,Sterling Bancorp Inc,40,S&Ls,Finance-Savings & Loan,6.02,-0.7,-0.04,41,-10.2,60,91,A-,E,C+,78
WNEB,Western New Eng Bncrp,40,S&Ls,Finance-Savings & Loan,9.2,0.1,0.01,20,-9.5,86,85,A-,B,B,90
TM,Toyota Motor Corp Adr,41,AUTO,Auto Manufacturers,199.48,-0.1,-0.19,285,-4.6,83,93,A-,B,B-,90
TTM,Tata Motors Ltd Ads,41,AUTO,Auto Manufacturers,33.16,-1.5,-0.51,723,-11.9,5,97,A-,D,B,66
CMA,Comerica Inc,46,BANKS,Banks-Super Regional,94.99,-0.4,-0.36,851,-19.6,71,95,A-,C,D+,81
KEY,Keycorp,46,BANKS,Banks-Super Regional,25.64,-0.7,-0.17,5276,-22.3,81,93,A-,B,C+,87
PNC,P N C Financial Svcs Grp,46,BANKS,Banks-Super Regional,208.1,-1.3,-2.77,1188,-13.9,59,88,A-,B,C,86
TFC,Truist Financial Corp,46,BANKS,Banks-Super Regional,63.35,-1.9,-1.2,4571,2.4,85,86,A-,C,B-,84
BKR,Baker Hughes Co Cl A,47,ENERGY,Oil&Gas-Machinery/Equip,26.36,-1.9,-0.51,7870,15.1,96,91,A-,D,C+,89
WFRD,Weatherford Intl plc,47,ENERGY,Oil&Gas-Machinery/Equip,31.5,-2.6,-0.83,175,-21.7,42,99,A-,E,B,79
WHD,Cactus Inc Cl A,47,ENERGY,Oil&Gas-Machinery/Equip,47.18,-1.6,-0.75,257,-8.1,91,97,A-,B,A-,95
AIG,American Intl Group,48,INSURANCE,Insurance-Diversified,59.52,-1.2,-0.7,2375,-38.9,93,93,A-,C,B-,97
HIG,Hartford Finl Svcs Grp,48,INSURANCE,Insurance-Diversified,72.11,-1.4,-1.02,2159,88.8,84,90,A-,C,B,91
UNP,Union Pacific Corp,49,TRANSPRT,Transportation-Rail,244.47,-2.7,-6.79,2929,39.9,84,88,B+,A,D+,91
LPLA,L P L Financial Holdings,50,FINANCE,Finance-Invest Bnk/Bkrs,172.69,-2,-3.52,609,49.3,92,93,B+,A,A-,95
